Date,Price,Open,High,Low,Volume,Change_pct
2022-09-08,4006.18,3959.94,4010.5,3944.81,,0.66
2022-09-09,4067.36,4022.94,4076.81,4022.94,,1.53
2022-09-12,4110.41,4083.67,4119.28,4083.67,,1.06
2022-09-13,3932.69,4037.12,4037.12,3921.28,,-4.32
2022-09-14,3946.01,3940.73,3961.94,3912.18,,0.34
2022-09-15,3901.35,3932.41,3959.14,3888.28,,-1.13
2022-09-16,3873.33,3880.95,3880.95,3837.08,,-0.72
2022-09-19,3899.89,3849.91,3900.45,3838.5,,0.69
2022-09-20,3855.93,3875.23,3876.01,3827.54,,-1.13
2022-09-21,3789.93,3871.4,3907.07,3789.49,,-1.71
2022-09-22,3757.99,3782.36,3790.9,3749.45,,-0.84
2022-09-23,3693.23,3727.14,3727.14,3647.47,,-1.72
2022-09-26,3655.04,3682.72,3715.67,3644.76,,-1.03
2022-09-27,3647.29,3686.44,3717.53,3623.29,,-0.21
2022-09-28,3719.04,3651.94,3736.74,3640.61,,1.97
2022-09-29,3640.47,3687.01,3687.01,3610.4,,-2.11
2022-09-30,3585.62,3633.48,3671.44,3584.13,,-1.51
2022-10-03,3678.43,3609.78,3698.35,3604.93,,2.59
2022-10-04,3790.93,3726.46,3791.92,3726.46,,3.06
2022-10-05,3783.28,3753.25,3806.91,3722.66,,-0.2
2022-10-06,3744.52,3771.97,3797.93,3739.22,,-1.02
2022-10-07,3639.66,3706.74,3706.74,3620.73,,-2.8
2022-10-10,3612.39,3647.51,3652.17,3588.1,,-0.75
2022-10-11,3588.84,3595.86,3640.66,3568.45,,-0.65
2022-10-12,3577.03,3590.83,3608.34,3573.86,,-0.33
2022-10-13,3669.91,3520.37,3685.41,3491.58,,2.6
2022-10-14,3583.07,3690.41,3712.0,3579.68,,-2.37
2022-10-17,3677.95,3638.65,3689.73,3638.65,,2.65
2022-10-18,3719.98,3746.26,3762.79,3686.53,,1.14
2022-10-19,3695.16,3703.11,3728.58,3666.51,,-0.67
2022-10-20,3665.78,3689.05,3736.0,3656.44,,-0.8
2022-10-21,3752.75,3657.1,3757.89,3647.42,,2.37
2022-10-24,3797.34,3762.01,3810.74,3741.65,,1.19
2022-10-25,3859.11,3799.44,3862.85,3799.44,,1.63
2022-10-26,3830.6,3825.97,3886.15,3824.07,,-0.74
2022-10-27,3807.3,3834.69,3859.95,3803.79,,-0.61
2022-10-28,3901.06,3808.26,3905.42,3808.26,,2.46
2022-10-31,3871.98,3881.85,3893.73,3863.18,,-0.75
2022-11-01,3856.1,3901.79,3911.79,3843.8,,-0.41
2022-11-02,3759.69,3852.9,3894.44,3758.68,,-2.5
2022-11-03,3719.89,3733.25,3750.59,3698.15,,-1.06
2022-11-04,3770.55,3766.98,3796.34,3708.84,,1.36
2022-11-07,3806.8,3780.71,3813.95,3764.7,,0.96
2022-11-08,3828.11,3817.02,3859.4,3786.28,,0.56
2022-11-09,3748.57,3810.94,3818.2,3744.22,,-2.08
2022-11-10,3956.37,3859.89,3958.33,3859.89,,5.54
2022-11-11,3992.93,3963.72,4001.48,3944.82,,0.92
2022-11-14,3957.25,3977.97,4008.97,3956.4,,-0.89
2022-11-15,3991.73,4006.41,4028.84,3953.17,,0.87
2022-11-16,3958.79,3976.82,3983.09,3954.34,,-0.83
2022-11-17,3946.56,3919.26,3954.33,3906.54,,-0.31
2022-11-18,3965.34,3966.39,3979.89,3935.98,,0.48
2022-11-21,3949.94,3956.23,3962.0,3933.34,,-0.39
2022-11-22,4003.58,3965.51,4005.88,3956.88,,1.36
2022-11-23,4027.26,4000.3,4033.78,3998.66,,0.59
2022-11-25,4026.12,4023.34,4034.02,4020.76,,-0.03
2022-11-28,3963.94,4005.36,4012.27,3955.77,,-1.54
2022-11-29,3957.63,3964.19,3976.77,3937.65,,-0.16
2022-11-30,4080.11,3957.18,4080.11,3938.58,,3.09
2022-12-01,4076.57,4087.14,4100.51,4050.87,,-0.09
2022-12-02,4071.7,4040.17,4080.48,4026.63,,-0.12
2022-12-05,3998.84,4052.02,4052.45,3984.49,,-1.79
2022-12-06,3941.26,3996.63,4001.51,3918.39,,-1.44
2022-12-07,3933.92,3933.28,3957.57,3922.68,,-0.19
2022-12-08,3963.51,3947.79,3974.19,3935.83,,0.75
2022-12-09,3934.38,3954.17,3977.02,3933.04,,-0.73
2022-12-12,3990.56,3939.29,3990.71,3935.3,,1.43
2022-12-13,4019.65,4069.38,4100.96,3993.03,,0.73
2022-12-14,3995.32,4015.54,4053.76,3965.65,,-0.61
2022-12-15,3895.75,3958.37,3958.37,3879.45,,-2.49
2022-12-16,3852.36,3890.91,3890.91,3827.91,,-1.11
2022-12-19,3817.66,3853.79,3854.86,3800.04,,-0.9
2022-12-20,3821.62,3810.47,3838.24,3795.62,,0.1
2022-12-21,3878.44,3839.49,3889.82,3839.49,,1.49
2022-12-22,3822.39,3853.26,3853.26,3764.49,,-1.45
2022-12-23,3844.82,3815.11,3845.8,3797.01,,0.59
2022-12-27,3829.25,3843.34,3846.65,3813.22,,-0.4
2022-12-28,3783.22,3829.56,3848.32,3780.78,,-1.2
2022-12-29,3849.28,3805.45,3858.19,3805.45,,1.75
2022-12-30,3839.5,3829.06,3839.85,3800.34,,-0.25
2023-01-03,3824.14,3853.29,3878.46,3794.33,,-0.4
2023-01-04,3852.97,3840.36,3873.16,3815.77,,0.75
2023-01-05,3808.1,3839.74,3839.74,3802.42,,-1.16
2023-01-06,3895.08,3823.37,3906.19,3809.56,,2.28
2023-01-09,3892.09,3910.82,3950.57,3890.42,,-0.08
2023-01-10,3919.25,3888.57,3919.83,3877.29,,0.7
2023-01-11,3969.61,3932.35,3970.07,3928.54,,1.28
2023-01-12,3983.17,3977.57,3997.76,3937.56,,0.34
2023-01-13,3999.09,3960.6,4003.95,3947.67,,0.4
2023-01-17,3990.97,3999.28,4015.39,3984.57,,-0.2
2023-01-18,3928.86,4002.25,4014.16,3926.59,,-1.56
2023-01-19,3898.85,3911.84,3922.94,3885.54,,-0.76
2023-01-20,3972.61,3909.04,3972.96,3897.86,,1.89
2023-01-23,4019.81,3978.14,4039.31,3971.64,,1.19
2023-01-24,4016.95,4001.74,4023.92,3989.79,,-0.07
2023-01-25,4016.22,3982.71,4019.55,3949.06,,-0.02
2023-01-26,4060.43,4036.08,4061.57,4013.29,,1.1
2023-01-27,4070.56,4053.72,4094.21,4048.7,,0.25
2023-01-30,4017.77,4049.27,4063.85,4015.55,,-1.3
2023-01-31,4076.6,4020.85,4077.16,4020.44,,1.46
2023-02-01,4119.21,4070.07,4148.95,4037.2,,1.05
2023-02-02,4179.76,4158.68,4195.44,4141.88,,1.47
2023-02-03,4136.48,4136.69,4182.36,4123.36,,-1.04
2023-02-06,4111.08,4119.57,4124.63,4093.38,,-0.61
2023-02-07,4164.0,4105.35,4176.54,4088.39,,1.29
2023-02-08,4117.86,4153.47,4156.85,4111.67,,-1.11
2023-02-09,4081.5,4144.25,4156.23,4069.67,,-0.88
2023-02-10,4090.46,4068.92,4094.36,4060.79,,0.22
2023-02-13,4137.29,4096.62,4138.9,4092.67,,1.14
2023-02-14,4136.13,4126.7,4159.77,4095.01,,-0.03
2023-02-15,4147.6,4119.5,4148.11,4103.98,,0.28
2023-02-16,4090.41,4114.75,4136.54,4089.49,,-1.38
2023-02-17,4079.09,4077.39,4081.51,4047.95,,-0.28
2023-02-21,3997.34,4052.35,4052.35,3995.19,,-2.0
2023-02-22,3991.05,4001.83,4017.37,3976.9,,-0.16
2023-02-23,4012.32,4018.6,4028.3,3969.19,,0.53
2023-02-24,3970.04,3973.24,3978.25,3943.08,,-1.05
2023-02-27,3982.24,3992.36,4018.05,3973.55,,0.31
2023-02-28,3970.15,3977.19,3997.5,3968.98,,-0.3
2023-03-01,3951.39,3963.34,3971.73,3939.05,,-0.47
2023-03-02,3981.35,3938.68,3990.84,3928.16,,0.76
2023-03-03,4045.64,3998.02,4048.29,3995.17,,1.61
2023-03-06,4048.42,4055.15,4078.49,4044.61,,0.07
2023-03-07,3986.37,4048.26,4050.0,3980.31,,-1.53
2023-03-08,3992.01,3987.55,4000.41,3969.76,,0.14
2023-03-09,3918.32,3998.66,4017.81,3908.7,,-1.85
2023-03-10,3861.59,3912.77,3934.05,3846.32,,-1.45
2023-03-13,3855.76,3835.12,3905.05,3808.86,,-0.15
2023-03-14,3919.29,3894.01,3937.29,3873.63,,1.65
2023-03-15,3891.93,3876.74,3894.26,3838.24,,-0.7
2023-03-16,3960.28,3878.93,3964.46,3864.11,,1.76
2023-03-17,3916.64,3958.69,3958.91,3901.27,,-1.1
2023-03-20,3951.57,3917.47,3956.62,3916.89,,0.89
2023-03-21,4002.87,3975.89,4009.08,3971.19,,1.3
2023-03-22,3936.97,4002.04,4039.49,3936.17,,-1.65
2023-03-23,3948.72,3959.21,4007.66,3919.05,,0.3
2023-03-24,3970.99,3939.21,3972.74,3909.16,,0.56
2023-03-27,3977.53,3982.93,4003.83,3970.49,,0.16
2023-03-28,3971.27,3974.13,3979.2,3951.53,,-0.16
2023-03-29,4027.81,3999.53,4030.59,3999.53,,1.42
2023-03-30,4050.83,4046.74,4057.85,4032.1,,0.57
2023-03-31,4109.31,4056.18,4110.75,4056.18,,1.44
2023-04-03,4124.51,4102.2,4127.66,4098.79,,0.37
2023-04-04,4100.6,4128.03,4133.13,4086.87,,-0.58
2023-04-05,4090.38,4094.5,4099.69,4072.56,,-0.25
2023-04-06,4105.02,4081.15,4107.32,4069.84,,0.36
2023-04-10,4109.11,4085.2,4109.5,4072.55,,0.1
2023-04-11,4108.94,4110.29,4124.26,4102.61,,0.0
2023-04-12,4091.95,4121.72,4134.37,4086.94,,-0.41
2023-04-13,4146.22,4100.04,4150.26,4099.4,,1.33
2023-04-14,4137.64,4140.11,4163.19,4113.2,,-0.21
2023-04-17,4151.32,4137.17,4151.72,4123.18,,0.33
2023-04-18,4154.87,4164.26,4169.48,4140.36,,0.09
2023-04-19,4154.52,4139.33,4162.57,4134.49,,-0.01
2023-04-20,4129.79,4130.48,4148.57,4114.57,,-0.6
2023-04-21,4133.52,4132.14,4138.02,4113.86,,0.09
2023-04-24,4137.04,4132.07,4142.41,4117.77,,0.09
2023-04-25,4071.63,4126.43,4126.43,4071.38,,-1.58
2023-04-26,4055.99,4087.78,4089.67,4049.35,,-0.38
2023-04-27,4135.35,4075.29,4138.24,4075.29,,1.96
2023-04-28,4169.48,4129.63,4170.06,4127.18,,0.83
2023-05-01,4167.87,4166.79,4186.92,4164.12,,-0.04
2023-05-02,4119.58,4164.1,4164.1,4089.72,,-1.16
2023-05-03,4090.75,4122.25,4148.3,4088.86,,-0.7
2023-05-04,4061.22,4082.55,4082.61,4048.28,,-0.72
2023-05-05,4136.25,4084.73,4147.02,4084.73,,1.85
2023-05-08,4138.12,4136.98,4142.3,4123.81,,0.05
2023-05-09,4119.17,4124.25,4130.35,4116.65,,-0.46
2023-05-10,4137.64,4143.74,4154.28,4098.92,,0.45
2023-05-11,4130.62,4132.24,4132.8,4109.29,,-0.17
2023-05-12,4124.08,4138.54,4143.74,4099.12,,-0.16
2023-05-15,4136.28,4126.65,4141.25,4110.27,,0.3
2023-05-16,4109.9,4127.95,4135.54,4109.86,,-0.64
2023-05-17,4158.77,4122.85,4164.67,4113.62,,1.19
2023-05-18,4198.05,4157.68,4202.2,4153.5,,0.94
2023-05-19,4191.98,4204.15,4212.91,4180.2,,-0.14
2023-05-22,4192.63,4190.78,4209.22,4179.68,,0.02
2023-05-23,4145.58,4176.8,4185.68,4142.54,,-1.12
2023-05-24,4115.24,4132.96,4132.96,4103.98,,-0.73
2023-05-25,4151.28,4155.71,4165.74,4129.73,,0.88
2023-05-26,4205.45,4156.16,4212.87,4156.16,,1.3
2023-05-30,4205.52,4226.71,4231.1,4192.18,,0.0
2023-05-31,4179.83,4190.74,4195.44,4166.15,,-0.61
2023-06-01,4221.02,4183.03,4232.43,4171.64,,0.99
2023-06-02,4282.37,4241.01,4290.67,4241.01,,1.45
2023-06-05,4273.79,4282.99,4299.28,4266.82,,-0.2
2023-06-06,4283.85,4271.34,4288.33,4263.09,,0.24
2023-06-07,4267.52,4285.47,4299.19,4263.96,,-0.38
2023-06-08,4293.93,4268.69,4298.01,4261.07,,0.62
2023-06-09,4298.86,4304.88,4322.62,4291.7,,0.11
2023-06-12,4338.93,4308.32,4340.13,4304.37,,0.93
2023-06-13,4369.01,4352.61,4375.37,4349.31,,0.69
2023-06-14,4372.59,4366.29,4391.82,4337.85,,0.08
2023-06-15,4425.84,4365.33,4439.2,4362.6,,1.22
2023-06-16,4409.59,4440.95,4448.47,4407.44,,-0.37
2023-06-20,4388.71,4396.11,4400.15,4367.19,,-0.47
2023-06-21,4365.69,4380.01,4386.22,4360.14,,-0.52
2023-06-22,4381.89,4355.4,4382.25,4351.82,,0.37
2023-06-23,4348.33,4354.17,4366.55,4341.34,,-0.77
2023-06-26,4328.82,4344.84,4362.06,4328.08,,-0.45
2023-06-27,4378.41,4337.36,4384.42,4335.0,,1.15
2023-06-28,4376.86,4367.48,4390.35,4360.22,,-0.04
2023-06-29,4396.44,4374.94,4398.39,4371.97,,0.45
2023-06-30,4450.38,4422.44,4458.48,4422.44,,1.23
2023-07-03,4455.59,4450.48,4456.46,4442.29,,0.12
2023-07-05,4446.82,4442.04,4454.06,4436.61,,-0.2
2023-07-06,4411.59,4422.62,4422.62,4385.05,,-0.79
2023-07-07,4398.95,4404.54,4440.39,4397.4,,-0.29
2023-07-10,4409.53,4394.23,4412.6,4389.92,,0.24
2023-07-11,4439.26,4415.55,4443.64,4408.46,,0.67
2023-07-12,4472.16,4467.69,4488.34,4463.23,,0.74
2023-07-13,4510.04,4491.5,4517.38,4489.36,,0.85
2023-07-14,4505.42,4514.61,4527.76,4499.56,,-0.1
2023-07-17,4522.79,4508.86,4532.85,4504.9,,0.39
2023-07-18,4554.98,4521.78,4562.3,4514.59,,0.71
2023-07-19,4565.72,4563.87,4578.43,4557.48,,0.24
2023-07-20,4534.87,4554.38,4564.74,4527.56,,-0.68
2023-07-21,4536.34,4550.16,4555.0,4535.79,,0.03
2023-07-24,4554.64,4543.39,4563.41,4541.29,,0.4
2023-07-25,4567.46,4555.19,4580.62,4552.42,,0.28
2023-07-26,4566.75,4558.96,4582.47,4547.58,,-0.02
2023-07-27,4537.41,4598.26,4607.07,4528.56,,-0.64
2023-07-28,4582.23,4565.75,4590.16,4564.01,,0.99
2023-07-31,4588.96,4584.82,4594.22,4573.14,,0.15
2023-08-01,4576.73,4578.83,4584.62,4567.53,,-0.27
2023-08-02,4513.39,4550.93,4550.93,4505.75,,-1.38
2023-08-03,4501.89,4494.27,4519.49,4485.54,,-0.25
2023-08-04,4478.03,4513.96,4540.34,4474.55,,-0.53
2023-08-07,4518.44,4491.58,4519.84,4491.15,,0.9
2023-08-08,4499.38,4498.03,4503.31,4464.39,,-0.42
2023-08-09,4467.71,4501.57,4502.44,4461.33,,-0.7
2023-08-10,4468.83,4487.16,4527.37,4457.92,,0.03
2023-08-11,4464.05,4450.69,4476.23,4443.98,,-0.11
2023-08-14,4489.72,4458.13,4490.33,4453.44,,0.58
2023-08-15,4437.86,4478.87,4478.87,4432.19,,-1.16
2023-08-16,4404.33,4433.79,4449.95,4403.55,,-0.76
2023-08-17,4370.36,4416.32,4421.17,4364.83,,-0.77
2023-08-18,4369.71,4344.88,4381.82,4335.31,,-0.01
2023-08-21,4399.77,4380.28,4407.55,4360.3,,0.69
2023-08-22,4387.55,4415.33,4418.59,4382.77,,-0.28
2023-08-23,4436.01,4396.44,4443.18,4396.44,,1.1
2023-08-24,4376.31,4455.16,4458.3,4375.55,,-1.35
2023-08-25,4405.71,4389.38,4418.46,4356.29,,0.67
2023-08-28,4433.31,4426.03,4439.56,4414.98,,0.63
2023-08-29,4497.63,4432.75,4500.14,4431.68,,1.45
2023-08-30,4514.87,4500.34,4521.65,4493.59,,0.38
2023-08-31,4507.66,4517.01,4532.26,4507.39,,-0.16
2023-09-01,4515.77,4530.6,4541.25,4501.35,,0.18
2023-09-05,4496.83,4510.06,4514.29,4496.01,,-0.42
2023-09-06,4465.48,4490.35,4490.35,4442.38,,-0.7
2023-09-07,4451.14,4434.55,4457.81,4430.46,,-0.32
2023-09-08,4457.49,4451.3,4473.53,4448.38,,0.14
2023-09-11,4487.46,4480.98,4490.77,4467.89,,0.67
2023-09-12,4461.9,4473.27,4487.11,4456.83,,-0.57
2023-09-13,4467.44,4462.65,4479.39,4453.52,,0.12
2023-09-14,4505.1,4487.78,4511.99,4478.69,,0.84
2023-09-15,4450.32,4497.98,4497.98,4447.21,,-1.22
2023-09-18,4453.53,4445.13,4466.36,4442.11,,0.07
2023-09-19,4443.95,4445.41,4449.85,4416.61,,-0.22
2023-09-20,4402.2,4452.81,4461.03,4401.38,,-0.94
2023-09-21,4330.0,4374.36,4375.7,4329.17,,-1.64
2023-09-22,4320.06,4341.74,4357.4,4316.49,,-0.23
2023-09-25,4337.44,4310.62,4338.51,4302.7,,0.4
2023-09-26,4273.53,4312.88,4313.01,4265.98,,-1.47
2023-09-27,4274.51,4282.63,4292.07,4238.63,,0.02
2023-09-28,4299.7,4269.65,4317.27,4264.38,,0.59
2023-09-29,4288.05,4328.18,4333.15,4274.86,,-0.27
2023-10-02,4288.39,4284.52,4300.58,4260.21,,0.01
2023-10-03,4229.45,4269.75,4281.15,4216.45,,-1.37
2023-10-04,4263.75,4233.83,4268.5,4220.48,,0.81
2023-10-05,4258.19,4259.31,4267.13,4225.91,,-0.13
2023-10-06,4308.5,4234.79,4324.1,4219.55,,1.18
2023-10-09,4335.66,4289.02,4341.73,4283.79,,0.63
2023-10-10,4358.24,4339.75,4385.46,4339.64,,0.52
2023-10-11,4376.95,4366.59,4378.64,4345.34,,0.43
2023-10-12,4349.61,4380.94,4385.85,4325.43,,-0.62
2023-10-13,4327.78,4360.49,4377.1,4311.97,,-0.5
2023-10-16,4373.63,4342.37,4383.33,4342.37,,1.06
2023-10-17,4373.2,4345.23,4393.57,4337.54,,-0.01
2023-10-18,4314.6,4357.35,4364.2,4303.84,,-1.34
2023-10-19,4278.0,4321.36,4339.54,4269.69,,-0.85
2023-10-20,4224.16,4273.85,4276.56,4223.03,,-1.26
2023-10-23,4217.04,4210.4,4255.84,4189.22,,-0.17
2023-10-24,4247.68,4235.79,4259.38,4219.43,,0.73
2023-10-25,4186.77,4232.42,4232.42,4181.42,,-1.43
2023-10-26,4137.23,4175.99,4183.6,4127.9,,-1.18
2023-10-27,4117.37,4152.93,4156.7,4103.78,,-0.48
2023-10-30,4166.82,4139.39,4177.47,4132.94,,1.2
2023-10-31,4193.8,4171.33,4195.55,4153.12,,0.65
2023-11-01,4237.86,4201.27,4245.64,4197.74,,1.05
2023-11-02,4317.78,4268.26,4319.72,4268.26,,1.89
2023-11-03,4358.34,4334.23,4373.62,4334.23,,0.94
2023-11-06,4365.98,4364.27,4372.21,4347.53,,0.18
2023-11-07,4378.38,4366.21,4386.26,4355.41,,0.28
2023-11-08,4382.78,4384.37,4391.2,4359.76,,0.1
2023-11-09,4347.35,4391.41,4393.4,4343.94,,-0.81
2023-11-10,4415.24,4364.15,4418.03,4353.34,,1.56
2023-11-13,4411.55,4406.66,4421.76,4393.82,,-0.08
2023-11-14,4495.7,4458.97,4508.67,4458.97,,1.91
2023-11-15,4502.88,4505.3,4521.17,4495.31,,0.16
2023-11-16,4508.24,4497.08,4511.99,4487.83,,0.12
2023-11-17,4514.02,4509.55,4520.12,4499.66,,0.13
2023-11-20,4547.38,4511.7,4557.11,4510.36,,0.74
2023-11-21,4538.19,4538.77,4542.14,4525.51,,-0.2
2023-11-22,4556.62,4553.04,4568.43,4545.05,,0.41
2023-11-24,4559.34,4555.84,4560.31,4552.8,,0.06
2023-11-27,4550.43,4554.86,4560.52,4546.32,,-0.2
2023-11-28,4554.89,4545.55,4568.14,4540.51,,0.1
2023-11-29,4550.58,4571.84,4587.64,4547.15,,-0.09
2023-11-30,4567.8,4554.87,4569.89,4537.24,,0.38
2023-12-01,4594.63,4559.43,4599.39,4554.71,,0.59
2023-12-04,4569.78,4564.37,4572.37,4546.72,,-0.54
2023-12-05,4567.18,4557.25,4578.56,4551.68,,-0.06
2023-12-06,4549.34,4586.23,4590.74,4546.5,,-0.39
2023-12-07,4585.59,4568.84,4590.92,4565.22,,0.8
2023-12-08,4604.37,4576.2,4609.23,4574.06,,0.41
2023-12-11,4622.44,4593.39,4623.71,4593.39,,0.39
2023-12-12,4643.7,4618.3,4643.93,4608.09,,0.46
2023-12-13,4707.09,4646.2,4709.69,4643.23,,1.37
2023-12-14,4719.55,4721.04,4738.57,4694.34,,0.26
2023-12-15,4719.19,4714.23,4725.53,4704.69,,-0.01
2023-12-18,4740.56,4725.58,4749.52,4725.58,,0.45
2023-12-19,4768.37,4743.72,4768.69,4743.72,,0.59
2023-12-20,4698.35,4764.73,4778.01,4697.82,,-1.47
2023-12-21,4746.75,4724.29,4748.71,4708.35,,1.03
2023-12-22,4754.63,4753.92,4772.94,4736.77,,0.17
2023-12-26,4774.75,4758.86,4784.72,4758.45,,0.42
2023-12-27,4781.58,4773.45,4785.39,4768.9,,0.14
2023-12-28,4783.35,4786.44,4793.3,4780.98,,0.04
2023-12-29,4769.83,4782.88,4788.43,4751.99,,-0.28
2024-01-02,4742.83,4745.2,4754.33,4722.67,,-0.57
2024-01-03,4704.81,4725.07,4729.29,4699.71,,-0.8
2024-01-04,4688.68,4697.42,4726.78,4687.53,,-0.34
2024-01-05,4697.24,4690.57,4721.49,4682.11,,0.18
2024-01-08,4763.54,4703.7,4764.54,4699.82,,1.41
2024-01-09,4756.5,4741.93,4765.47,4730.35,,-0.15
2024-01-10,4783.45,4759.94,4790.8,4756.2,,0.57
2024-01-11,4780.24,4792.13,4798.5,4739.58,,-0.07
2024-01-12,4783.83,4791.18,4802.4,4768.98,,0.08
2024-01-16,4765.98,4772.35,4782.34,4747.12,,-0.37
2024-01-17,4739.21,4739.13,4744.23,4714.82,,-0.56
2024-01-18,4780.94,4760.1,4785.79,4740.57,,0.88
2024-01-19,4839.81,4796.28,4842.07,4785.87,,1.23
2024-01-22,4850.43,4853.42,4868.41,4844.05,,0.22
2024-01-23,4864.6,4856.8,4866.48,4844.37,,0.29
2024-01-24,4868.55,4888.56,4903.68,4865.94,,0.08
2024-01-25,4894.16,4886.66,4898.15,4869.34,,0.53
2024-01-26,4890.97,4888.91,4906.69,4881.47,,-0.07
2024-01-29,4927.93,4892.95,4929.31,4887.4,,0.76
2024-01-30,4924.97,4925.89,4931.09,4916.27,,-0.06
2024-01-31,4845.65,4899.19,4906.75,4845.15,,-1.61
2024-02-01,4906.19,4861.11,4906.97,4853.52,,1.25
2024-02-02,4958.61,4916.06,4975.29,4907.99,,1.07
2024-02-05,4942.81,4957.19,4957.19,4918.09,,-0.32
2024-02-06,4954.23,4950.16,4957.77,4934.88,,0.23
2024-02-07,4995.06,4973.05,4999.89,4969.05,,0.82
2024-02-08,4997.91,4995.16,5000.4,4987.09,,0.06
2024-02-09,5026.61,5004.17,5030.06,5000.34,,0.57
2024-02-12,5021.84,5026.83,5048.39,5016.83,,-0.09
2024-02-13,4953.17,4967.94,4971.3,4920.31,,-1.37
2024-02-14,5000.62,4976.44,5002.52,4956.45,,0.96
2024-02-15,5029.73,5003.14,5032.72,4999.44,,0.58
2024-02-16,5005.57,5031.13,5038.7,4999.52,,-0.48
2024-02-20,4975.51,4989.32,4993.71,4955.02,,-0.6
2024-02-21,4981.8,4963.03,4983.21,4946.0,,0.13
2024-02-22,5087.03,5038.83,5094.39,5038.83,,2.11
2024-02-23,5088.8,5100.92,5111.06,5081.46,,0.03
2024-02-26,5069.53,5093.0,5097.66,5068.91,,-0.38
2024-02-27,5078.18,5074.6,5080.69,5057.29,,0.17
2024-02-28,5069.76,5067.2,5077.37,5058.35,,-0.17
2024-02-29,5096.27,5085.36,5104.99,5061.89,,0.52
2024-03-01,5137.08,5098.51,5140.33,5094.16,,0.8
2024-03-04,5130.95,5130.99,5149.67,5127.18,,-0.12
2024-03-05,5078.65,5110.52,5114.54,5056.82,,-1.02
2024-03-06,5104.76,5108.03,5127.97,5092.22,,0.51
2024-03-07,5157.36,5132.38,5165.62,5128.21,,1.03
2024-03-08,5123.69,5164.46,5189.26,5117.5,,-0.65
2024-03-11,5117.94,5111.96,5124.66,5091.14,,-0.11
